"schema","table","row_count","tenant_anchored","empresa_anchored","has_id_tenant","has_id_empresa"
"actividad","tipo_comentario","6","False","False","False","False"
"catalogo","alcance_asignacion","1","False","False","False","False"
"catalogo","canal_notificacion","2","False","False","False","False"
"catalogo","efecto_permiso","2","False","False","False","False"
"catalogo","estado_empresa","1","False","False","False","False"
"catalogo","estado_usuario","1","False","False","False","False"
"catalogo","modo_filtro_dato","1","False","False","False","False"
"catalogo","proposito_desafio_mfa","1","False","False","False","False"
"catalogo","tipo_empresa","1","False","False","False","False"
"catalogo","tipo_factor_mfa","1","False","False","False","False"
"catalogo","tipo_recurso_ui","2","False","False","False","False"
"catalogo","tipo_verificacion_restablecimiento","1","False","False","False","False"
"comun","entidad_sistema","13","False","False","False","False"
"comun","tipo_documento","12","False","False","False","False"
"etiqueta","etiqueta","7","False","False","False","False"
"logistica","estado_cotizacion","5","False","False","False","False"
"logistica","estado_envio","7","False","False","False","False"
"logistica","termino_comercial","5","False","False","False","False"
"logistica","tipo_evento_envio","8","False","False","False","False"
"observabilidad","error_log","49","False","False","False","False"
"plataforma","db_migration_history","3","False","False","False","False"
"plataforma","modulo","1","False","False","False","False"
"seguridad","credencial_local_usuario","1","False","False","False","False"
"seguridad","entidad_alcance_dato","13","False","False","False","False"
"seguridad","factor_mfa_usuario","1","False","False","False","False"
"seguridad","flujo_restablecimiento_clave","1","False","False","False","False"
"seguridad","permiso","10","False","False","False","False"
"seguridad","recurso_ui","10","False","False","False","False"
"seguridad","recurso_ui_permiso","9","False","False","False","False"
"seguridad","token_restablecimiento_clave","1","False","False","False","False"
"seguridad","usuario","1","False","False","False","False"
"tercero","contacto_tercero","1","False","False","False","False"
"tercero","cuenta_bancaria_tercero","1","False","False","False","False"
"tercero","direccion_tercero","1","False","False","False","False"
"tercero","identificacion_tercero","1","False","False","False","False"
"tercero","nivel_coincidencia","4","False","False","False","False"
"tercero","rol_tercero","15","False","False","False","False"
"tercero","tercero","2","False","False","False","False"
"tercero","tipo_persona","2","False","False","False","False"
